Page,Users,Sessions,Pageviews,Unique Pageviews,Bounce Rate,Entrances,Users % of Total
/,3384,5347,8950,6838,0.455956611,5345,0.644081
/page/0,1174,1580,5362,3813,0.158860759,1582,0.433765
/catalog/,1137,83,1,1,0,0,0.361312
/data,743,308,4353,1847,0.224025974,310,0.306338
/data/page/0,655,467,3455,1701,0.344753747,468,0.270004
/news/2016/06/data-science-opportunities/,553,355,714,648,0.856338028,355,0.242545
/share,408,206,1547,1003,0.266990291,206,0.21899
/about/,357,71,522,438,0.507042254,71,0.200109
/team/,303,87,438,374,0.528735632,87,0.184283
/q-and-a/,199,70,327,259,0.471428571,70,0.169642
/home.htm,175,192,233,201,0.578125,192,0.157248
/profile,174,34,287,233,0.617647059,34,0.146904
/submit/,170,71,361,268,0.61971831,71,0.138093
/publications/,167,84,291,203,0.678571429,84,0.130499
/data/my-data,138,20,588,323,0.2,20,0.12355
/support/,131,21,250,171,0.476190476,21,0.117387
/sharebutton.to,129,129,379,129,0.015503876,129,0.111926
/news/2016/03/press-release/,126,66,184,158,0.666666667,66,0.10704
/category/news/,94,12,151,124,0.666666667,12,0.102348
/data-plans/,93,19,132,111,0.631578947,19,0.098116
/history/,85,13,96,92,0.384615385,14,0.094214
/view/urn:uuid:ef1feed0-9057-4afb-963e-03769a0b3e85,60,102,175,121,0.656862745,102,0.090451
/news/2016/04/webinar-recap-nsf-arctic-data-center-overview/,57,60,99,84,0.783333333,60,0.08699
/profile/http://orcid.org/0000-0002-1006-9496,56,14,167,131,0.071428571,14,0.083809
/preservation/,48,17,60,55,0.529411765,17,0.080822
/data/page/1,46,10,77,62,0.3,10,0.07805
/data/page/2,42,4,73,47,0,4,0.075456
/profile/http://orcid.org/0000-0002-8941-9259,38,9,87,59,0.111111111,9,0.073019
/data/my-data/page/0,37,0,100,50,null,0,0.070744
/view/doi:10.5065/D6JH3J7Z,36,32,65,56,0.75,33,0.068614
/view/doi:10.5065/D6N014HK,35,39,56,44,0.769230769,39,0.066616
