event_label,users,total_events,unique_events
temperature,39,45,42
permafrost,29,42,34
sea ice,29,33,32
stafford,22,51,41
shupe,21,99,75
2016 to 2017,20,48,37
2015 to 2017,18,26,20
DBO,18,46,36
2014 to 2017,17,19,17
polyakov,16,29,26
helmig,16,38,28
carbon,16,26,20
orcutt,14,25,20
chin,13,35,28
1800 to 2017,13,18,14
1799 to 2017,13,15,13
greenland,13,13,13
2017 to 2017,13,29,27
mcraven,13,34,26
2013 to 2017,12,13,12
ice core,12,18,16
alaska,12,13,13
borehole,12,16,14
Greenland,12,15,13
soil,12,14,14
flux,11,12,11
Polyakov,11,16,16
polar bear,11,17,13
ice,11,15,12
Zhao,11,15,14
2012 to 2017,11,13,12
McConnell,10,21,16
snow,10,11,10
evans,10,66,26
2011,10,23,18
CTD,10,18,15
ICECAPS,10,19,15
ITP,10,41,19
romanovsky,10,15,12
fish,10,12,11
2010 to 2015,9,11,11
simpson,9,12,11
mcconnell,9,12,10
grieman,9,15,13
active layer,9,9,9
2014 to 2015,9,10,9
methane,9,15,12
arctic,9,9,9
2015 to 2016,9,11,10
2010 to 2017,9,9,9
water,8,12,9
"Summit, Greenland",8,13,10
1801 to 2017,8,9,8
mann,8,10,10
brady,8,21,16
SHEBA,8,12,10
zooplankton,8,17,13
zhao,8,13,11
soil temperature,8,9,9
truffer,8,86,50
icecaps,8,9,9
carlson,8,20,16
Summit,8,13,9
Jacqueline M. Grebmeier,8,28,25
Snow Depth,8,8,8
2010,8,22,16
barrow,8,9,9
krishfield,8,10,9
toolik,8,15,13
MAR,8,10,10
2015 to 2015,7,9,8
woodgate,7,18,12
nolan,7,7,7
1504141,7,14,13
oberbauer,7,10,8
phenology,7,9,7
lily zhao,7,8,8
river,7,8,7
Shupe,7,20,16
weiser,7,13,11
2016 to 2016,7,15,11
102.286,7,10,7
2012,7,18,13
lidar,7,15,14
uptempo,7,12,10
2011 to 2017,7,7,7
itp,7,9,7
dbo,7,7,7
cable,7,10,9
summit,7,9,9
2011 to 2015,7,8,7
2014 to 2016,7,9,7
HLY,7,8,7
matrai,7,18,18
sizonet,7,10,7
sediment,7,8,8
hollister,7,12,8
ceilometer,7,22,18
2010 to 2014,6,7,6
svalbard,6,9,7
1800 to 2016,6,6,6
Oberbauer,6,9,7
degrandpre,6,35,26
a2,6,12,9
shipping,6,8,7
DeGrandpre,6,22,17
2008 to 2015,6,7,6
bahr,6,9,9
o-buoy,6,12,9
harper,6,8,8
fortin,6,14,12
taylor,6,20,13
glacier,6,11,10
natali,6,8,7
biomass,6,9,7
2009 to 2015,6,6,6
kaufman,6,15,14
