search_word,users,total_events,unique_events
temperature,65,82,78
1800 to 2020,42,48,45
to 2020,35,35,35
permafrost,29,45,37
DBO,24,38,34
2019 to 2020,22,36,27
greenland,22,38,35
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasurementType,22,26,26
toolik,20,37,31
2010 to 2020,19,23,21
NABOS,19,24,21
snow,19,24,22
Greenland,18,30,26
2015 to 2019,16,28,19
sea ice,15,18,15
methane,14,19,17
2014 to 2019,14,16,15
2020 to 2020,14,32,20
arctic,14,18,18
2018 to 2020,14,18,14
alaska,13,18,16
2009 to 2019,13,32,22
"Summit, Greenland",13,16,15
Alaska,12,22,19
2007 to 2020,12,18,13
soil,12,13,12
2018 to 2019,12,15,13
2010 to 2010,12,17,13
2011 to 2019,12,14,13
2010 to 2019,12,18,13
2015 to 2020,12,15,14
1800 to 2019,11,11,11
2019 to 2019,11,11,11
2010 to,11,11,11
2016 to 2019,11,20,12
mooring,11,28,22
2000 to 2020,11,15,12
barrow,11,18,12
Temperature,11,11,11
CTD,11,14,13
vegetation,10,10,10
Arctic,10,11,11
2010 to 2018,10,11,10
albedo,10,14,12
water,10,12,11
2012 to 2019,10,11,11
2013 to 2019,10,13,12
2011 to 2018,10,13,10
polar bear,9,11,10
Iliamna Lake,9,11,10
2009 to 2018,9,12,11
bathymetry,9,10,10
summit,9,14,13
depth,9,12,11
romanovsky,9,11,10
polyakov,9,11,10
2009 to 2020,9,12,10
2017 to 2020,9,13,11
2008 to 2018,9,10,9
lake,9,10,10
Arctic Ocean,9,11,10
co2 flux,9,30,16
nitrate,9,13,12
black carbon,8,22,17
Toolik Field Station,8,11,11
2015 to 2018,8,15,10
Toolik,8,13,12
reindeer,8,12,12
2014 to 2020,8,8,8
2011 to 2020,8,9,8
alexander,8,15,14
2013 to 2020,8,8,8
2005 to 2018,8,9,8
kropp,8,10,10
angot,8,16,16
ice,8,11,11
carbon,8,9,9
grebmeier,8,14,12
2016 to 2020,8,9,8
2003 to 2018,8,9,8
NPEO,8,12,10
soil temperature,8,11,9
2017 to 2019,8,13,9
hales,8,16,12
holland,8,10,10
carbon dioxide flux,8,31,18
2007 to 2018,8,9,8
calon,7,11,10
zooplankton,7,7,7
jones,7,15,15
climate,7,7,7
Grebmeier,7,11,11
2004 to 2018,7,9,7
1990 to 2020,7,8,7
hollister,7,9,8
Chukchi Sea,7,13,10
2007 to 2019,7,8,7
2004 to 2019,7,8,7
2006 to 2018,7,8,7
2007 to,7,7,7
1801 to 2019,7,7,7
helmig,7,12,11
2003 to 2019,7,8,7
model,7,12,11
2013 to 2018,7,9,7
ctd,7,12,10
snow depth,7,13,9
benthic,7,7,7
http://purl.dataone.org/odo/ECSO_00000536,7,22,15
2012 to 2018,7,10,7
1998 to 2020,7,11,10
glacier,7,11,8
"summit, greenland",7,8,8
